datetime,height,temp
2018-07-02 08:00:00,-52,16.4
2018-07-02 08:10:00,-43,16.4
2018-07-02 08:20:00,-34,16.4
2018-07-02 08:30:00,-26,16.4
2018-07-02 08:40:00,-19,16.4
2018-07-02 08:50:00,-13,16.4
2018-07-02 09:00:00,-6,16.4
2018-07-02 09:10:00,-1,16.4
2018-07-02 09:20:00,5,16.5
2018-07-02 09:30:00,10,16.5
2018-07-02 09:40:00,17,16.5
2018-07-02 09:50:00,23,16.6
2018-07-02 10:00:00,28,16.6
2018-07-02 10:10:00,33,16.6
2018-07-02 10:20:00,39,16.6
2018-07-02 10:30:00,45,16.6
2018-07-02 10:40:00,49,16.6
2018-07-02 10:50:00,51,16.6
2018-07-02 11:00:00,56,16.6
2018-07-02 11:10:00,60,16.6
2018-07-02 11:20:00,64,16.6
2018-07-02 11:30:00,67,16.6
2018-07-02 11:40:00,69,16.6
2018-07-02 11:50:00,72,16.8
2018-07-02 12:00:00,75,16.8
2018-07-02 12:10:00,77,16.8
2018-07-02 12:20:00,79,16.9
2018-07-02 12:30:00,81,16.9
2018-07-02 12:40:00,82,16.9
2018-07-02 12:50:00,83,16.9
2018-07-02 13:00:00,82,16.9
2018-07-02 13:10:00,80,16.9
2018-07-02 13:20:00,78,17.0
2018-07-02 13:30:00,74,17.0
2018-07-02 13:40:00,70,17.0
2018-07-02 13:50:00,63,17.0
2018-07-02 14:00:00,57,17.0
2018-07-02 14:10:00,51,17.0
2018-07-02 14:20:00,44,17.0
2018-07-02 14:30:00,38,17.0
2018-07-02 14:40:00,32,17.0
2018-07-02 14:50:00,26,16.9
2018-07-02 15:00:00,20,16.9
2018-07-02 15:10:00,14,16.9
2018-07-02 15:20:00,8,17.0
2018-07-02 15:30:00,1,17.0
2018-07-02 15:40:00,-5,17.0
2018-07-02 15:50:00,-11,17.1
2018-07-02 16:00:00,-17,17.1
2018-07-02 16:10:00,-23,17.1
2018-07-02 16:20:00,-30,17.1
2018-07-02 16:30:00,-35,17.1
2018-07-02 16:40:00,-41,17.1
2018-07-02 16:50:00,-48,16.9
2018-07-02 17:00:00,-53,16.9
2018-07-02 17:10:00,-60,16.9
2018-07-02 17:20:00,-67,16.7
2018-07-02 17:30:00,-73,16.7
2018-07-02 17:40:00,-79,16.7
2018-07-02 17:50:00,-86,16.6
2018-07-02 18:00:00,-91,16.6
2018-07-02 18:10:00,-97,16.6
2018-07-02 18:20:00,-102,16.6
2018-07-02 18:30:00,-107,16.6
2018-07-02 18:40:00,-111,16.6
2018-07-02 18:50:00,-114,16.6
2018-07-02 19:00:00,-118,16.6
2018-07-02 19:10:00,-119,16.6
2018-07-02 19:20:00,-118,16.6
2018-07-02 19:30:00,-114,16.6
2018-07-02 19:40:00,-109,16.6
2018-07-02 19:50:00,-98,16.6
2018-07-02 20:00:00,-87,16.6
2018-07-02 20:10:00,-78,16.6
2018-07-02 20:20:00,-68,16.5
2018-07-02 20:30:00,-58,16.5
2018-07-02 20:40:00,-49,16.5
2018-07-02 20:50:00,-41,16.6
2018-07-02 21:00:00,-34,16.6
2018-07-02 21:10:00,-27,16.6
2018-07-02 21:20:00,-22,16.5
2018-07-02 21:30:00,-17,16.5
2018-07-02 21:40:00,-11,16.5
2018-07-02 21:50:00,-7,16.6
2018-07-02 22:00:00,-2,16.6
2018-07-02 22:10:00,3,16.6
2018-07-02 22:20:00,8,16.6
2018-07-02 22:30:00,13,16.6
2018-07-02 22:40:00,18,16.6
2018-07-02 22:50:00,22,16.7
2018-07-02 23:00:00,26,16.7
2018-07-02 23:10:00,29,16.7
2018-07-02 23:20:00,32,16.7
2018-07-03 00:00:00,41,16.6
2018-07-03 00:10:00,44,16.6
2018-07-03 00:20:00,46,16.6
2018-07-03 00:30:00,47,16.6
2018-07-03 00:40:00,49,16.6
2018-07-03 00:50:00,50,16.5
2018-07-03 01:00:00,51,16.5
2018-07-03 01:10:00,51,16.5
2018-07-03 01:20:00,50,16.5
2018-07-03 01:30:00,48,16.5
2018-07-03 01:40:00,46,16.5
2018-07-03 01:50:00,43,16.5
2018-07-03 02:00:00,39,16.5
2018-07-03 02:10:00,34,16.5
2018-07-03 02:20:00,29,16.5
2018-07-03 02:30:00,23,16.5
2018-07-03 02:40:00,17,16.5
2018-07-03 02:50:00,11,16.5
2018-07-03 03:00:00,4,16.5
2018-07-03 03:10:00,-2,16.5
2018-07-03 03:20:00,-8,16.5
2018-07-03 03:30:00,-14,16.5
2018-07-03 03:40:00,-20,16.5
2018-07-03 03:50:00,-25,16.5
2018-07-03 04:00:00,-31,16.5
2018-07-03 04:10:00,-36,16.5
2018-07-03 04:20:00,-42,16.5
2018-07-03 04:30:00,-48,16.5
2018-07-03 04:40:00,-52,16.5
2018-07-03 04:50:00,-58,16.5
2018-07-03 05:00:00,-63,16.5
2018-07-03 05:10:00,-68,16.5
2018-07-03 05:20:00,-74,16.5
2018-07-03 05:30:00,-79,16.5
2018-07-03 05:40:00,-84,16.5
2018-07-03 05:50:00,-90,16.5
2018-07-03 06:00:00,-95,16.5
2018-07-03 06:10:00,-100,16.5
2018-07-03 06:20:00,-104,16.6
2018-07-03 06:30:00,-109,16.6
2018-07-03 06:40:00,-113,16.6
2018-07-03 06:50:00,-115,16.6
2018-07-03 07:00:00,-118,16.6
2018-07-03 07:10:00,-120,16.6
2018-07-03 07:20:00,-120,16.6
2018-07-03 07:30:00,-118,16.6
2018-07-03 07:40:00,-115,16.6
2018-07-03 07:50:00,-109,16.6
2018-07-03 08:00:00,-98,16.6
2018-07-03 08:10:00,-87,16.6
2018-07-03 08:20:00,-75,16.6
2018-07-03 08:30:00,-62,16.6
2018-07-03 08:40:00,-51,16.6
2018-07-03 08:50:00,-41,16.6
2018-07-03 09:00:00,-32,16.6
2018-07-03 09:10:00,-24,16.6
2018-07-03 09:20:00,-18,16.5
2018-07-03 09:30:00,-12,16.5
2018-07-03 09:40:00,-5,16.5
2018-07-03 09:50:00,1,16.6
2018-07-03 10:00:00,7,16.6
2018-07-03 10:10:00,13,16.6
2018-07-03 10:20:00,19,16.6
2018-07-03 10:30:00,25,16.6
2018-07-03 10:40:00,30,16.6
2018-07-03 10:50:00,35,16.6
2018-07-03 11:00:00,40,16.6
2018-07-03 11:10:00,44,16.6
2018-07-03 11:20:00,48,16.6
2018-07-03 11:30:00,52,16.6
2018-07-03 11:40:00,55,16.6
2018-07-03 11:50:00,59,16.7
2018-07-03 12:00:00,61,16.7
2018-07-03 12:10:00,65,16.7
2018-07-03 12:20:00,67,16.7
2018-07-03 12:30:00,70,16.7
2018-07-03 12:40:00,73,16.7
2018-07-03 12:50:00,76,16.8
2018-07-03 13:00:00,77,16.8
2018-07-03 13:10:00,78,16.8
2018-07-03 13:20:00,78,16.8
2018-07-03 13:30:00,77,16.8
2018-07-03 13:40:00,75,16.8
2018-07-03 13:50:00,74,16.9
2018-07-03 14:00:00,71,16.9
2018-07-03 14:10:00,68,16.9
2018-07-03 14:20:00,63,16.9
2018-07-03 14:30:00,58,16.9
2018-07-03 14:40:00,52,16.9
2018-07-03 14:50:00,46,17.0
2018-07-03 15:00:00,39,17.0
2018-07-03 15:10:00,32,17.0
2018-07-03 15:20:00,26,17.0
2018-07-03 15:30:00,20,17.0
2018-07-03 15:40:00,13,17.0
2018-07-03 15:50:00,7,17.0
2018-07-03 16:00:00,1,17.0
2018-07-03 16:10:00,-5,17.0
2018-07-03 16:20:00,-11,17.0
2018-07-03 16:30:00,-17,17.0
