,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
46,1908,medicine,Paul Ehrlich,14 March 1854,Strehlen (now Strzelin),Prussia (now Poland),," Goettingen University, Goettingen, Germany, Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy), Frankfurt-on-the-Main, Germany",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1908 was awarded jointly to Ilya Ilyich Mechnikov and Paul Ehrlich in recognition of their work on immunity
47,1908,peace,Fredrik Bajer,21 April 1837,Næstved,Denmark,Denmark," Honorary President of Permanent International Peace Bureau, Berne, Switzerland, Member, Danish Parliament", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1908 was awarded jointly to Klas Pontus Arnoldson and Fredrik Bajer
48,1908,peace,Klas Pontus Arnoldson,27 October 1844,Gothenburg,Sweden,Sweden," Founder of Swedish Peace and Arbitration League, Formerly Member of Swedish Parliament, Writer", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1908 was awarded jointly to Klas Pontus Arnoldson and Fredrik Bajer
49,1908,physics,Gabriel Lippmann,16 August 1845,Hollerich,Luxembourg,," Sorbonne University, Paris, France"," Optical physics, applied optical physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1908 was awarded to Gabriel Lippmann for his method of reproducing colours photographically based on the phenomenon of interference.
50,1909,chemistry,Wilhelm Ostwald,2 September 1853,Riga Latvia,Russian Empire,," Leipzig University, Leipzig, Germany", Physical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1909 was awarded to Wilhelm Ostwald in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction.
51,1909,literature,Selma Ottilia Lovisa Lagerlöf,20 November 1858,Mårbacka,Sweden,Sweden,, Swedish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1909 was awarded to Selma Lagerlöf in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings."
52,1909,medicine,Emil Theodor Kocher,25 August 1841,Berne,Switzerland,," Berne University, Berne, Switzerland",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1909 was awarded to Theodor Kocher for his work on the physiology, pathology and surgery of the thyroid gland."
53,1909,peace,Auguste Marie François Beernaert,26 July 1829,Ostend,Belgium,Belgium," Member of Cour Internationale d'arbitrage at the Hague, Member, Belgian Parliament, ex-Prime Minister"," Peace movement, world organizing",The Nobel Peace Prize,"The Nobel Peace Prize 1909 was awarded jointly to Auguste Marie François Beernaert and Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque"
54,1909,physics,Guglielmo Marconi,25 April 1874,Bologna,Italy,," Marconi Wireless Telegraph Co. Ltd., London, United Kingdom"," Electromagnetism, applied electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1909 was awarded jointly to Guglielmo Marconi and Karl Ferdinand Braun in recognition of their contributions to the development of wireless telegraphy
55,1909,physics,Karl Ferdinand Braun,6 June 1850,Fulda,Hesse-Kassel (now Germany),," Strasbourg University, Strasbourg, Alsace, then Germany"," Electromagnetism, applied electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1909 was awarded jointly to Guglielmo Marconi and Karl Ferdinand Braun in recognition of their contributions to the development of wireless telegraphy
56,1910,chemistry,Otto Wallach,27 March 1847,Koenigsberg (now Kaliningrad),Germany (now Russia),," Goettingen University, Goettingen, Germany"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1910 was awarded to Otto Wallach in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds.
57,1910,literature,Paul Johann Ludwig Heyse,15 March 1830,Berlin,Prussia (now Germany),Germany,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1910 was awarded to Paul Heyse as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories."
58,1910,medicine,Albrecht Kossel,16 September 1853,Rostock,Mecklenburg (now Germany),," University of Heidelberg, Heidelberg, Germany",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1910 was awarded to Albrecht Kossel in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances."
59,1910,peace,Bureau international permanent de la Paix (Permanent International Peace Bureau),1891 in Berne,,Switzerland,,, Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1910 was awarded to Permanent International Peace Bureau.
60,1910,physics,Johannes Diderik van der Waals,23 November 1837,Leiden,the Netherlands,," Amsterdam University, Amsterdam, the Netherlands"," Gas physics, molecular physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1910 was awarded to Johannes Diderik van der Waals for his work on the equation of state for gases and liquids.
61,1911,chemistry,"Marie Curie, née Sklodowska",7 November 1867,Warsaw,Russian Empire (now Poland),," Sorbonne University, Paris, France", Nuclear chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1911 was awarded to Marie Curie in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element."
62,1911,literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,29 August 1862,Ghent,Belgium,Belgium,, French,The Nobel Prize in Literature,"The Nobel Prize in Literature 1911 was awarded to Maurice Maeterlinck in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations."
63,1911,medicine,Allvar Gullstrand,5 June 1862,Landskrona,Sweden,," Uppsala University, Uppsala, Sweden",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1911 was awarded to Allvar Gullstrand for his work on the dioptrics of the eye.
64,1911,peace,Alfred Hermann Fried,11 November 1864,Vienna,Austria,Austria," Founder of <i>Die Friedenswarte</i> (a peace publication), Journalist",,The Nobel Peace Prize,The Nobel Peace Prize 1911 was awarded jointly to Tobias Michael Carel Asser and Alfred Hermann Fried
65,1911,peace,Tobias Michael Carel Asser,28 April 1838,Amsterdam,the Netherlands,the Netherlands," Lawyer, Cabinet Minister, Initiator of the Conferences on International Private Law at the Hague", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1911 was awarded jointly to Tobias Michael Carel Asser and Alfred Hermann Fried
66,1911,physics,Wilhelm Wien,13 January 1864,Gaffken (now Parusnoye),Prussia (now Russia),," Würzburg University, Würzburg, Germany", Electromagnetism,The Nobel Prize in Physics,The Nobel Prize in Physics 1911 was awarded to Wilhelm Wien for his discoveries regarding the laws governing the radiation of heat.
67,1912,chemistry,Paul Sabatier,5 November 1854,Carcassonne,France,," Toulouse University, Toulouse, France", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1912 was divided equally between Victor Grignard for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry and Paul Sabatier for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years."
68,1912,chemistry,Victor Grignard,6 May 1871,Cherbourg,France,," Nancy University, Nancy, France", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1912 was divided equally between Victor Grignard for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry and Paul Sabatier for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years."
69,1912,literature,Gerhart Johann Robert Hauptmann,15 November 1862,Bad Salzbrunn,Prussia (now Germany),Germany,, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1912 was awarded to Gerhart Hauptmann primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art."
70,1912,medicine,Alexis Carrel,28 June 1873,Sainte-Foy-lès-Lyon,France,," Rockefeller Institute for Medical Research, New York, NY, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1912 was awarded to Alexis Carrel in recognition of his work on vascular suture and the transplantation of blood vessels and organs.
71,1912,peace,Elihu Root,15 February 1845,Clinton NY,USA,USA," Originator of various treaties of arbitration, ex-Secretary of State", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1912 was awarded to Elihu Root.
72,1912,physics,Nils Gustaf Dalén,30 November 1869,Stenstorp,Sweden,," Swedish Gas-Accumulator Co., Lidingö-Stockholm, Sweden"," Mechanics, applied mechanics",The Nobel Prize in Physics,The Nobel Prize in Physics 1912 was awarded to Gustaf Dalén for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys.
73,1913,chemistry,Alfred Werner,12 December 1866,Mulhouse,France,," University of Zurich, Zurich, Switzerland", Inorganic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1913 was awarded to Alfred Werner in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry.
74,1913,literature,Rabindranath Tagore,7 May 1861,Calcutta,India,India,, Bengali and English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1913 was awarded to Rabindranath Tagore because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West."
75,1913,medicine,Charles Robert Richet,26 August 1850,Paris,France,," Sorbonne University, Paris, France",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1913 was awarded to Charles Richet in recognition of his work on anaphylaxis.
76,1913,peace,Henri La Fontaine,22 April 1854,Brussels,Belgium,Belgium," President, Permanent International Peace Bureau, Berne, Switzerland, Member, Belgian Parliament (Sénateur)", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1913 was awarded to Henri La Fontaine.
77,1913,physics,Heike Kamerlingh Onnes,21 September 1853,Groningen,the Netherlands,," Leiden University, Leiden, the Netherlands", Superconductivity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1913 was awarded to Heike Kamerlingh Onnes for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium."
78,1914,chemistry,Theodore William Richards,31 January 1868,Germantown PA,USA,," Harvard University, Cambridge, MA, USA", Physical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1914 was awarded to Theodore W. Richards in recognition of his accurate determinations of the atomic weight of a large number of chemical elements.
79,1914,medicine,Robert Bárány,22 April 1876,Vienna,Austria,," Vienna University, Vienna, Austria",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1914 was awarded to Robert Bárány for his work on the physiology and pathology of the vestibular apparatus.
80,1914,physics,Max von Laue,9 October 1879,Pfaffendorf,Germany,," Frankfurt-on-the-Main University, Frankfurt-on-the-Main, Germany"," Atomic physics, interferometry",The Nobel Prize in Physics,The Nobel Prize in Physics 1914 was awarded to Max von Laue for his discovery of the diffraction of X-rays by crystals.
81,1915,chemistry,Richard Martin Willstätter,13 August 1872,Karlsruhe,Germany,," Munich University, Munich, Germany"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1915 was awarded to Richard Willstätter for his researches on plant pigments, especially chlorophyll."
82,1915,literature,Romain Rolland,29 January 1866,Clamecy,France,France,, French,The Nobel Prize in Literature,The Nobel Prize in Literature 1915 was awarded to Romain Rolland as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings.
83,1915,physics,Sir William Henry Bragg,2 July 1862,Wigton,United Kingdom,," University College, London, United Kingdom"," Crystallography, X-rays",The Nobel Prize in Physics,The Nobel Prize in Physics 1915 was awarded jointly to Sir William Henry Bragg and William Lawrence Bragg for their services in the analysis of crystal structure by means of X-rays
84,1915,physics,William Lawrence Bragg,31 March 1890,Adelaide,Australia,," Victoria University, Manchester, United Kingdom"," Crystallography, X-rays",The Nobel Prize in Physics,The Nobel Prize in Physics 1915 was awarded jointly to Sir William Henry Bragg and William Lawrence Bragg for their services in the analysis of crystal structure by means of X-rays
85,1916,literature,Carl Gustaf Verner von Heidenstam,6 July 1859,Olshammar,Sweden,Sweden,, Swedish,The Nobel Prize in Literature,The Nobel Prize in Literature 1916 was awarded to Verner von Heidenstam in recognition of his significance as the leading representative of a new era in our literature.
86,1917,literature,Henrik Pontoppidan,24 July 1857,Fredericia,Denmark,Denmark,, Danish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1917 was divided equally between Karl Adolph Gjellerup for his varied and rich poetry, which is inspired by lofty ideals and Henrik Pontoppidan for his authentic descriptions of present-day life in Denmark."
87,1917,literature,Karl Adolph Gjellerup,2 June 1857,Roholte,Denmark,Denmark,, Danish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1917 was divided equally between Karl Adolph Gjellerup for his varied and rich poetry, which is inspired by lofty ideals and Henrik Pontoppidan for his authentic descriptions of present-day life in Denmark."
88,1917,peace,Comité international de la Croix Rouge (International Committee of the Red Cross),1863 in Geneva,,Switzerland,,, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1917 was awarded to International Committee of the Red Cross.
